month,country,merchant_segment,device,payment_method,attempts,successes,attempted_volume_usd,refunds,disputes,platform_revenue_usd,successful_amount_usd,success_rate,refund_rate,dispute_rate
2026-01,CA,Enterprise,Desktop,Bank debit,90,84,11045.66,1,1,201.27,10592.61,0.9333333333333333,0.011904761904761904,0.011904761904761904
2026-01,CA,Enterprise,Desktop,Card,670,627,72015.82,9,4,1262.98,66470.96,0.935820895522388,0.014354066985645933,0.006379585326953748
2026-01,CA,Enterprise,Desktop,Wallet,210,204,22190.66,1,1,415.54,21868.11,0.9714285714285714,0.004901960784313725,0.004901960784313725
2026-01,CA,Enterprise,Mobile,BNPL,118,107,13511.02,4,2,238.47,12549.5,0.9067796610169492,0.037383177570093455,0.018691588785046728
2026-01,CA,Enterprise,Mobile,Bank debit,211,191,24259.44,1,1,432.84,22780.6,0.9052132701421801,0.005235602094240838,0.005235602094240838
2026-01,CA,Enterprise,Mobile,Card,1204,1125,138156.19,15,12,2460.84,129518.94,0.9343853820598007,0.013333333333333334,0.010666666666666666
2026-01,CA,Enterprise,Mobile,Wallet,408,393,44789.54,9,0,822.03,43265.86,0.9632352941176471,0.022900763358778626,0.0
2026-01,CA,Mid-market,Desktop,BNPL,147,129,10702.59,4,1,178.77,9409.4,0.8775510204081632,0.031007751937984496,0.007751937984496124
2026-01,CA,Mid-market,Desktop,Bank debit,253,228,19139.11,4,1,319.06,16798.29,0.9011857707509882,0.017543859649122806,0.0043859649122807015
2026-01,CA,Mid-market,Desktop,Card,1430,1351,109363.1,20,14,1973.6,103873.97,0.9447552447552447,0.014803849000740192,0.010362694300518135
2026-01,CA,Mid-market,Desktop,Wallet,424,413,29033.45,6,3,538.15,28326.79,0.9740566037735849,0.014527845036319613,0.007263922518159807
2026-01,CA,Mid-market,Mobile,BNPL,239,220,16181.63,5,0,279.34,14700.68,0.9205020920502092,0.022727272727272728,0.0
2026-01,CA,Mid-market,Mobile,Bank debit,461,432,33779.65,8,1,605.38,31862.0,0.9370932754880694,0.018518518518518517,0.0023148148148148147
2026-01,CA,Mid-market,Mobile,Card,2444,2313,179548.62,35,11,3245.94,170831.59,0.9463993453355155,0.015131863380890618,0.004755728491137051
2026-01,CA,Mid-market,Mobile,Wallet,740,706,53992.79,12,1,982.0600000000001,51683.9,0.9540540540540541,0.0169971671388102,0.00141643059490085
2026-01,CA,SMB,Desktop,BNPL,254,236,12867.87,5,1,223.19,11743.84,0.9291338582677166,0.0211864406779661,0.00423728813559322
2026-01,CA,SMB,Desktop,Bank debit,454,416,21439.16,3,1,372.14,19586.18,0.9162995594713657,0.007211538461538462,0.002403846153846154
2026-01,CA,SMB,Desktop,Card,2584,2430,128557.12,35,14,2281.51,120059.57,0.9404024767801857,0.01440329218106996,0.005761316872427984
2026-01,CA,SMB,Desktop,Wallet,783,761,39722.54,10,0,732.37,38542.64,0.9719029374201787,0.013140604467805518,0.0
2026-01,CA,SMB,Mobile,BNPL,487,449,24108.77,9,2,433.17,22801.06,0.9219712525667351,0.0200445434298441,0.004454342984409799
2026-01,CA,SMB,Mobile,Bank debit,788,735,40873.43,21,3,724.27,38120.98,0.932741116751269,0.02857142857142857,0.004081632653061225
2026-01,CA,SMB,Mobile,Card,4618,4305,229144.57,63,36,4082.91,214874.17,0.9322217410134257,0.014634146341463415,0.008362369337979094
2026-01,CA,SMB,Mobile,Wallet,1453,1366,71837.07,17,5,1272.03,66939.42,0.9401238816242258,0.012445095168374817,0.0036603221083455345
2026-01,DE,Enterprise,Desktop,BNPL,41,37,3565.9,0,0,59.35,3123.41,0.9024390243902439,0.0,0.0
2026-01,DE,Enterprise,Desktop,Bank debit,83,76,13907.97,0,0,248.28,13068.82,0.9156626506024096,0.0,0.0
2026-01,DE,Enterprise,Desktop,Card,491,463,53929.27,10,2,961.68,50611.66,0.9429735234215886,0.02159827213822894,0.004319654427645789
2026-01,DE,Enterprise,Desktop,Wallet,137,131,14450.76,1,0,266.47,14027.14,0.9562043795620438,0.007633587786259542,0.0
2026-01,DE,Enterprise,Mobile,BNPL,78,73,8934.53,1,0,151.60999999999999,7978.99,0.9358974358974359,0.0136986301369863,0.0
2026-01,DE,Enterprise,Mobile,Bank debit,156,142,16607.82,1,0,294.64,15507.66,0.9102564102564102,0.007042253521126761,0.0
2026-01,DE,Enterprise,Mobile,Card,873,802,92364.29,8,7,1615.67,85038.14,0.9186712485681557,0.00997506234413965,0.008728179551122194
2026-01,DE,Enterprise,Mobile,Wallet,267,253,30103.44,4,0,540.42,28437.24,0.947565543071161,0.015810276679841896,0.0
2026-01,DE,Mid-market,Desktop,BNPL,87,78,5920.31,1,0,104.33,5491.68,0.896551724137931,0.01282051282051282,0.0
2026-01,DE,Mid-market,Desktop,Bank debit,189,177,12762.98,3,0,231.74,12198.63,0.9365079365079365,0.01694915254237288,0.0
2026-01,DE,Mid-market,Desktop,Card,1049,989,75488.59,10,5,1321.48,69548.97,0.9428026692087702,0.010111223458038422,0.005055611729019211
2026-01,DE,Mid-market,Desktop,Wallet,344,331,23892.28,8,0,441.18,23216.96,0.9622093023255814,0.02416918429003021,0.0
2026-01,DE,Mid-market,Mobile,BNPL,178,160,11966.06,5,0,199.6,10504.26,0.898876404494382,0.03125,0.0
2026-01,DE,Mid-market,Mobile,Bank debit,349,330,22988.41,8,0,419.29,22068.48,0.9455587392550143,0.024242424242424242,0.0
2026-01,DE,Mid-market,Mobile,Card,1899,1776,138882.07,23,10,2459.64,129454.16,0.9352290679304898,0.01295045045045045,0.00563063063063063
2026-01,DE,Mid-market,Mobile,Wallet,575,547,40608.68,11,0,744.64,39191.85,0.951304347826087,0.02010968921389397,0.0
2026-01,DE,SMB,Desktop,BNPL,197,180,9223.01,4,0,153.63,8087.74,0.9137055837563451,0.022222222222222223,0.0
2026-01,DE,SMB,Desktop,Bank debit,346,320,17047.25,3,2,307.83,16202.21,0.9248554913294798,0.009375,0.00625
2026-01,DE,SMB,Desktop,Card,1973,1860,99287.19,22,10,1771.86,93245.85,0.94272681196148,0.011827956989247311,0.005376344086021506
2026-01,DE,SMB,Desktop,Wallet,629,611,31617.77,9,0,588.41,30966.56,0.9713831478537361,0.014729950900163666,0.0
2026-01,DE,SMB,Mobile,BNPL,339,308,17000.86,8,1,302.97,15943.72,0.9085545722713865,0.025974025974025976,0.003246753246753247
2026-01,DE,SMB,Mobile,Bank debit,654,616,34151.44,6,1,623.91,32838.2,0.9418960244648318,0.00974025974025974,0.0016233766233766235
2026-01,DE,SMB,Mobile,Card,3462,3253,167952.03,49,18,2997.97,157785.69,0.939630271519353,0.015063018751921304,0.005533353827236397
2026-01,DE,SMB,Mobile,Wallet,1123,1072,55372.86,23,3,998.06,52534.08,0.9545859305431879,0.021455223880597014,0.002798507462686567
2026-01,GB,Enterprise,Desktop,BNPL,47,40,5421.92,0,1,94.57,4976.69,0.851063829787234,0.0,0.025
2026-01,GB,Enterprise,Desktop,Bank debit,92,86,9038.83,2,0,161.26,8488.59,0.9347826086956522,0.023255813953488372,0.0
2026-01,GB,Enterprise,Desktop,Card,528,492,54612.28,13,2,964.23,50746.24,0.9318181818181818,0.026422764227642278,0.0040650406504065045
2026-01,GB,Enterprise,Desktop,Wallet,192,185,22611.36,0,1,422.1,22216.2,0.9635416666666666,0.0,0.005405405405405406
2026-01,GB,Enterprise,Mobile,BNPL,95,88,9321.53,0,0,166.3,8749.880000000001,0.9263157894736842,0.0,0.0
2026-01,GB,Enterprise,Mobile,Bank debit,182,171,21731.36,4,0,364.46999999999997,19183.14,0.9395604395604396,0.023391812865497075,0.0
2026-01,GB,Enterprise,Mobile,Card,1018,945,111178.91,15,3,1948.3,102541.42,0.9282907662082515,0.015873015873015872,0.0031746031746031746
2026-01,GB,Enterprise,Mobile,Wallet,299,286,32092.34,3,0,588.33,30964.17,0.9565217391304348,0.01048951048951049,0.0
2026-01,GB,Mid-market,Desktop,BNPL,101,90,8240.39,1,0,147.61,7769.44,0.8910891089108911,0.011111111111111112,0.0
2026-01,GB,Mid-market,Desktop,Bank debit,215,202,15366.96,9,0,274.53000000000003,14447.3,0.9395348837209302,0.04455445544554455,0.0
2026-01,GB,Mid-market,Desktop,Card,1199,1135,89996.9,23,11,1641.93,86426.37,0.9466221851542952,0.02026431718061674,0.009691629955947136
2026-01,GB,Mid-market,Desktop,Wallet,375,363,28450.48,5,0,524.03,27582.75,0.968,0.013774104683195593,0.0
2026-01,GB,Mid-market,Mobile,BNPL,230,210,15840.18,5,0,271.91,14309.63,0.9130434782608695,0.023809523809523808,0.0
2026-01,GB,Mid-market,Mobile,Bank debit,364,339,25676.99,8,1,461.09,24268.42,0.9313186813186813,0.02359882005899705,0.0029498525073746312
2026-01,GB,Mid-market,Mobile,Card,2138,1999,160762.64,31,12,2856.23,150330.53,0.9349859681945744,0.015507753876938469,0.006003001500750375
2026-01,GB,Mid-market,Mobile,Wallet,727,682,52245.53,12,5,944.58,49715.9,0.938101788170564,0.017595307917888565,0.007331378299120235
2026-01,GB,SMB,Desktop,BNPL,191,175,9779.52,6,1,171.37,9017.98,0.9162303664921466,0.03428571428571429,0.005714285714285714
2026-01,GB,SMB,Desktop,Bank debit,412,375,19092.13,7,0,326.9,17206.93,0.9101941747572816,0.018666666666666668,0.0
2026-01,GB,SMB,Desktop,Card,2251,2107,114039.74,26,14,2041.37,107437.9,0.9360284318080853,0.012339819648789748,0.006644518272425249
2026-01,GB,SMB,Desktop,Wallet,725,695,37551.2,8,2,681.0,35843.88,0.9586206896551724,0.011510791366906475,0.0028776978417266188
2026-01,GB,SMB,Mobile,BNPL,399,364,21806.49,8,1,385.77,20300.23,0.9122807017543859,0.02197802197802198,0.0027472527472527475
2026-01,GB,SMB,Mobile,Bank debit,747,695,37554.68,11,2,668.65,35192.34,0.9303882195448461,0.015827338129496403,0.0028776978417266188
2026-01,GB,SMB,Mobile,Card,4110,3872,202561.48,59,19,3623.7,190735.2,0.9420924574209246,0.015237603305785124,0.00490702479338843
2026-01,GB,SMB,Mobile,Wallet,1269,1216,61762.59,17,4,1118.76,58883.84,0.9582348305752562,0.013980263157894737,0.003289473684210526
2026-01,US,Enterprise,Desktop,BNPL,170,156,20273.420000000002,8,0,357.18,18799.91,0.9176470588235294,0.05128205128205128,0.0
2026-01,US,Enterprise,Desktop,Bank debit,298,281,30280.29,3,1,540.63,28456.68,0.9429530201342282,0.010676156583629894,0.0035587188612099642
2026-01,US,Enterprise,Desktop,Card,1920,1805,205741.64,23,10,3665.32,192913.67,0.9401041666666666,0.012742382271468145,0.00554016620498615
2026-01,US,Enterprise,Desktop,Wallet,596,575,64863.25,10,1,1187.8799999999999,62513.79,0.964765100671141,0.017391304347826087,0.0017391304347826088
2026-01,US,Enterprise,Mobile,BNPL,306,276,33604.75,7,2,585.52,30817.36,0.9019607843137255,0.025362318840579712,0.007246376811594203
2026-01,US,Enterprise,Mobile,Bank debit,561,520,60361.02,9,1,1060.87,55839.27,0.9269162210338681,0.01730769230769231,0.0019230769230769232
2026-01,US,Enterprise,Mobile,Card,3406,3215,373553.71,64,13,6723.73,353889.92,0.9439224897240165,0.019906687402799376,0.004043545878693624
2026-01,US,Enterprise,Mobile,Wallet,1029,986,113967.31,13,3,2082.4900000000002,109606.22,0.9582118561710399,0.013184584178498986,0.0030425963488843813
2026-01,US,Mid-market,Desktop,BNPL,379,343,24830.4,5,0,414.53,21820.32,0.9050131926121372,0.014577259475218658,0.0
2026-01,US,Mid-market,Desktop,Bank debit,725,662,52193.97,6,1,925.67,48719.27,0.9131034482758621,0.00906344410876133,0.0015105740181268882
2026-01,US,Mid-market,Desktop,Card,4113,3847,305081.54,48,16,5381.99,283255.95,0.9353270119134451,0.012477255003899143,0.004159085001299714
2026-01,US,Mid-market,Desktop,Wallet,1280,1227,94603.65,24,4,1737.32,91438.31,0.95859375,0.019559902200488997,0.0032599837000814994
2026-01,US,Mid-market,Mobile,BNPL,694,637,48761.51,20,3,829.1,43632.03,0.9178674351585014,0.03139717425431711,0.004709576138147566
2026-01,US,Mid-market,Mobile,Bank debit,1227,1133,85919.03,22,1,1498.19,78850.0,0.9233903830480847,0.019417475728155338,0.00088261253309797
2026-01,US,Mid-market,Mobile,Card,7144,6672,509744.38,118,42,9121.92,480111.55,0.9339305711086227,0.017685851318944845,0.006294964028776978
2026-01,US,Mid-market,Mobile,Wallet,2190,2106,153985.82,36,4,2819.77,148413.85,0.9616438356164384,0.017094017094017096,0.001899335232668566
2026-01,US,SMB,Desktop,BNPL,689,646,32879.39,17,1,587.18,30908.5,0.9375907111756169,0.02631578947368421,0.0015479876160990713
2026-01,US,SMB,Desktop,Bank debit,1307,1217,66725.7,15,8,1185.86,62411.95,0.9311400153022188,0.012325390304026294,0.00657354149548069
2026-01,US,SMB,Desktop,Card,7428,7004,372815.39,119,48,6657.73,350425.97,0.9429186860527733,0.01699029126213592,0.006853226727584237
2026-01,US,SMB,Desktop,Wallet,2382,2275,124297.31,47,9,2248.91,118369.59,0.9550797649034425,0.02065934065934066,0.003956043956043956
2026-01,US,SMB,Mobile,BNPL,1281,1172,62702.04,29,2,1079.8,56825.48,0.9149102263856362,0.024744027303754267,0.0017064846416382253
2026-01,US,SMB,Mobile,Bank debit,2202,2049,106523.94,29,3,1881.78,99045.82,0.9305177111716622,0.014153245485602733,0.0014641288433382138
2026-01,US,SMB,Mobile,Card,13302,12481,661116.49,194,74,11768.53,619372.56,0.9382799579010676,0.01554362631199423,0.005929012098389552
2026-01,US,SMB,Mobile,Wallet,4224,4018,206825.01,68,10,3743.01,196985.07,0.9512310606060606,0.016923842707814832,0.0024888003982080635
2026-02,AU,Enterprise,Desktop,BNPL,43,38,3796.29,2,0,65.42,3442.68,0.8837209302325582,0.05263157894736842,0.0
2026-02,AU,Enterprise,Desktop,Bank debit,64,60,6985.79,1,0,123.71000000000001,6511.82,0.9375,0.016666666666666666,0.0
2026-02,AU,Enterprise,Desktop,Card,467,441,51133.28,9,3,929.82,48936.8,0.9443254817987152,0.02040816326530612,0.006802721088435374
2026-02,AU,Enterprise,Desktop,Wallet,162,153,16800.3,1,1,309.28,16276.08,0.9444444444444444,0.006535947712418301,0.006535947712418301
2026-02,AU,Enterprise,Mobile,BNPL,69,67,6202.21,2,2,114.79,6041.46,0.9710144927536232,0.029850746268656716,0.029850746268656716
2026-02,AU,Enterprise,Mobile,Bank debit,139,130,15454.44,2,0,281.13,14796.89,0.935251798561151,0.015384615384615385,0.0
2026-02,AU,Enterprise,Mobile,Card,759,715,84789.34,8,8,1535.21,80802.01,0.9420289855072463,0.011188811188811189,0.011188811188811189
2026-02,AU,Enterprise,Mobile,Wallet,278,261,26637.38,2,2,481.8,25359.23,0.9388489208633094,0.007662835249042145,0.007662835249042145
2026-02,AU,Mid-market,Desktop,BNPL,82,75,6044.99,3,0,109.99,5789.46,0.9146341463414634,0.04,0.0
2026-02,AU,Mid-market,Desktop,Bank debit,178,168,12805.22,3,0,235.4,12392.18,0.9438202247191011,0.017857142857142856,0.0
2026-02,AU,Mid-market,Desktop,Card,955,907,70132.37,20,6,1260.77,66350.91,0.949738219895288,0.022050716648291068,0.006615214994487321
2026-02,AU,Mid-market,Desktop,Wallet,319,307,20395.03,3,0,373.17,19641.44,0.9623824451410659,0.009771986970684038,0.0
2026-02,AU,Mid-market,Mobile,BNPL,155,143,10994.46,2,0,187.54,9869.1,0.9225806451612903,0.013986013986013986,0.0
2026-02,AU,Mid-market,Mobile,Bank debit,302,277,21466.1,3,3,370.58,19505.93,0.9172185430463576,0.010830324909747292,0.010830324909747292
2026-02,AU,Mid-market,Mobile,Card,1641,1529,117686.64,21,10,2096.13,110328.05,0.9317489335770871,0.013734466971877043,0.006540222367560497
2026-02,AU,Mid-market,Mobile,Wallet,512,494,34186.55,10,2,626.82,32991.99,0.96484375,0.020242914979757085,0.004048582995951417
2026-02,AU,SMB,Desktop,BNPL,155,139,7703.33,1,1,133.38,7020.13,0.896774193548387,0.007194244604316547,0.007194244604316547
2026-02,AU,SMB,Desktop,Bank debit,313,290,14777.97,4,2,264.73,13935.51,0.9265175718849841,0.013793103448275862,0.006896551724137931
2026-02,AU,SMB,Desktop,Card,1780,1678,92940.21,24,8,1681.74,88516.15,0.9426966292134832,0.014302741358760428,0.004767580452920143
2026-02,AU,SMB,Desktop,Wallet,575,543,26933.37,6,0,480.12,25275.11,0.9443478260869566,0.011049723756906077,0.0
2026-02,AU,SMB,Mobile,BNPL,288,260,13193.37,6,1,231.44,12182.48,0.9027777777777778,0.023076923076923078,0.0038461538461538464
2026-02,AU,SMB,Mobile,Bank debit,567,531,31056.6,4,1,546.08,28739.6,0.9365079365079365,0.007532956685499058,0.0018832391713747645
2026-02,AU,SMB,Mobile,Card,3178,2981,155509.53,54,19,2784.46,146543.62,0.9380113278791693,0.018114726601811473,0.00637370010063737
2026-02,AU,SMB,Mobile,Wallet,975,930,48818.08,8,0,879.65,46295.03,0.9538461538461539,0.008602150537634409,0.0
2026-02,CA,Enterprise,Desktop,BNPL,53,49,6367.96,2,0,110.08,5793.2699999999995,0.9245283018867925,0.04081632653061224,0.0
2026-02,CA,Enterprise,Desktop,Bank debit,98,94,11980.63,1,0,219.89,11572.15,0.9591836734693877,0.010638297872340425,0.0
2026-02,CA,Enterprise,Desktop,Card,587,557,63242.6,8,5,1153.06,60685.72,0.948892674616695,0.01436265709156194,0.008976660682226212
2026-02,CA,Enterprise,Desktop,Wallet,192,186,20259.76,6,0,367.41,19339.13,0.96875,0.03225806451612903,0.0
2026-02,CA,Enterprise,Mobile,BNPL,99,85,12266.47,0,0,200.2,10536.25,0.8585858585858586,0.0,0.0
2026-02,CA,Enterprise,Mobile,Bank debit,190,177,21514.34,1,0,383.31,20175.4,0.9315789473684211,0.005649717514124294,0.0
2026-02,CA,Enterprise,Mobile,Card,1014,955,109032.37,15,4,1957.95,103039.8,0.9418145956607495,0.015706806282722512,0.004188481675392671
2026-02,CA,Enterprise,Mobile,Wallet,338,321,30990.69,2,1,567.95,29889.47,0.9497041420118343,0.006230529595015576,0.003115264797507788
2026-02,CA,Mid-market,Desktop,BNPL,119,111,6722.4800000000005,3,0,117.58,6188.13,0.9327731092436975,0.02702702702702703,0.0
2026-02,CA,Mid-market,Desktop,Bank debit,228,212,16126.2,4,1,288.26,15166.01,0.9298245614035088,0.018867924528301886,0.0047169811320754715
2026-02,CA,Mid-market,Desktop,Card,1276,1197,87752.58,15,9,1581.31,83216.95,0.9380877742946708,0.012531328320802004,0.007518796992481203
2026-02,CA,Mid-market,Desktop,Wallet,442,425,30488.65,4,0,556.5,29288.32,0.9615384615384616,0.009411764705882352,0.0
2026-02,CA,Mid-market,Mobile,BNPL,225,204,16101.64,3,1,278.56,14659.41,0.9066666666666666,0.014705882352941176,0.004901960784313725
2026-02,CA,Mid-market,Mobile,Bank debit,405,368,30578.02,6,0,527.99,27791.34,0.908641975308642,0.016304347826086956,0.0
2026-02,CA,Mid-market,Mobile,Card,2282,2141,164632.52,36,15,2964.7,156034.9,0.9382120946538125,0.01681457262961233,0.007006071929005138
2026-02,CA,Mid-market,Mobile,Wallet,702,679,51047.9,10,2,940.26,49480.85,0.9672364672364673,0.014727540500736377,0.0029455081001472753
2026-02,CA,SMB,Desktop,BNPL,239,220,11917.1,9,1,208.12,10952.08,0.9205020920502092,0.04090909090909091,0.004545454545454545
2026-02,CA,SMB,Desktop,Bank debit,404,379,19574.4,3,1,349.78,18404.4,0.9381188118811881,0.0079155672823219,0.002638522427440633
2026-02,CA,SMB,Desktop,Card,2336,2210,115269.91,36,15,2065.74,108737.18,0.9460616438356164,0.016289592760180997,0.006787330316742082
2026-02,CA,SMB,Desktop,Wallet,711,687,36730.4,7,2,672.75,35408.99,0.9662447257383966,0.010189228529839884,0.002911208151382824
2026-02,CA,SMB,Mobile,BNPL,409,373,19492.38,6,2,334.62,17614.77,0.9119804400977995,0.0160857908847185,0.005361930294906166
2026-02,CA,SMB,Mobile,Bank debit,688,634,34729.75,3,3,611.96,32204.64,0.9215116279069767,0.00473186119873817,0.00473186119873817
2026-02,CA,SMB,Mobile,Card,4086,3862,203201.58,69,22,3639.65,191550.76,0.9451786588350465,0.017866390471258417,0.005696530295183843
2026-02,CA,SMB,Mobile,Wallet,1350,1286,68173.82,21,4,1245.03,65533.07,0.9525925925925925,0.016329704510108865,0.003110419906687403
2026-02,DE,Enterprise,Desktop,BNPL,47,40,5654.03,1,0,87.36,4596.7300000000005,0.851063829787234,0.025,0.0
2026-02,DE,Enterprise,Desktop,Bank debit,62,55,7005.61,2,0,113.94,5997.99,0.8870967741935484,0.03636363636363636,0.0
2026-02,DE,Enterprise,Desktop,Card,383,353,40828.12,2,5,715.24,37647.66,0.9216710182767625,0.0056657223796034,0.014164305949008499
2026-02,DE,Enterprise,Desktop,Wallet,151,143,14020.17,4,0,258.28,13593.52,0.9470198675496688,0.027972027972027972,0.0
2026-02,DE,Enterprise,Mobile,BNPL,80,75,8256.55,2,0,139.89,7361.7,0.9375,0.02666666666666667,0.0
2026-02,DE,Enterprise,Mobile,Bank debit,146,135,15094.32,4,0,261.33,13758.62,0.9246575342465754,0.02962962962962963,0.0
2026-02,DE,Enterprise,Mobile,Card,796,737,83263.92,20,1,1453.39,76496.94,0.9258793969849246,0.027137042062415198,0.0013568521031207597
2026-02,DE,Enterprise,Mobile,Wallet,241,235,26352.21,3,0,491.61,25874.37,0.975103734439834,0.01276595744680851,0.0
2026-02,DE,Mid-market,Desktop,BNPL,81,77,5598.55,3,0,101.71000000000001,5353.11,0.9506172839506173,0.03896103896103896,0.0
2026-02,DE,Mid-market,Desktop,Bank debit,183,173,14019.36,3,0,257.66,13561.6,0.9453551912568307,0.017341040462427744,0.0
2026-02,DE,Mid-market,Desktop,Card,954,900,68390.37,18,1,1225.4,64486.65,0.9433962264150944,0.02,0.0011111111111111111
2026-02,DE,Mid-market,Desktop,Wallet,327,312,25433.72,7,2,460.4,24229.6,0.9541284403669725,0.022435897435897436,0.00641025641025641
2026-02,DE,Mid-market,Mobile,BNPL,158,146,10855.44,4,0,181.88,9573.94,0.9240506329113924,0.0273972602739726,0.0
2026-02,DE,Mid-market,Mobile,Bank debit,277,252,20478.82,3,0,351.32,18496.88,0.9097472924187726,0.011904761904761904,0.0
2026-02,DE,Mid-market,Mobile,Card,1725,1605,125189.52,18,12,2205.03,116056.93,0.9304347826086956,0.011214953271028037,0.007476635514018692
2026-02,DE,Mid-market,Mobile,Wallet,532,502,38315.07,7,0,689.88,36302.83,0.943609022556391,0.013944223107569721,0.0
2026-02,DE,SMB,Desktop,BNPL,166,151,8308.6,7,0,147.61,7766.87,0.9096385542168675,0.046357615894039736,0.0
2026-02,DE,SMB,Desktop,Bank debit,313,294,17502.27,9,0,310.37,16335.01,0.939297124600639,0.030612244897959183,0.0
2026-02,DE,SMB,Desktop,Card,1811,1715,90088.06,39,10,1624.42,85493.82,0.9469906129210381,0.022740524781341108,0.0058309037900874635
2026-02,DE,SMB,Desktop,Wallet,542,520,28941.81,6,3,535.23,28164.65,0.959409594095941,0.011538461538461539,0.0057692307692307696
2026-02,DE,SMB,Mobile,BNPL,285,265,13492.6,7,2,232.77,12249.63,0.9298245614035088,0.026415094339622643,0.007547169811320755
2026-02,DE,SMB,Mobile,Bank debit,540,490,25144.86,8,0,437.24,23012.38,0.9074074074074074,0.0163265306122449,0.0
2026-02,DE,SMB,Mobile,Card,3076,2877,157565.2,60,22,2783.37,146485.34,0.9353055916775033,0.020855057351407715,0.0076468543621828295
2026-02,DE,SMB,Mobile,Wallet,971,924,49213.97,14,1,893.18,47010.15,0.9515962924819773,0.015151515151515152,0.0010822510822510823
2026-02,GB,Enterprise,Desktop,BNPL,52,45,3908.83,1,1,65.41,3442.58,0.8653846153846154,0.022222222222222223,0.022222222222222223
2026-02,GB,Enterprise,Desktop,Bank debit,83,76,8161.44,0,0,143.58,7556.71,0.9156626506024096,0.0,0.0
2026-02,GB,Enterprise,Desktop,Card,534,508,52868.46,8,6,971.39,51124.85,0.951310861423221,0.015748031496062992,0.011811023622047244
