payment_id,merchant_id,customer_id,event_ts,country,merchant_segment,device,payment_method,amount_usd,payment_succeeded,decline_reason,refund_flag,dispute_flag,processing_latency_ms,platform_revenue_usd
pay_000567579,m_01270,c_0076819,2026-01-01 00:08:00,CA,Mid-market,Mobile,Bank debit,129.7,1,,0,0,1119,2.46
pay_000875458,m_03081,c_0127098,2026-01-01 00:09:00,US,SMB,Mobile,Card,16.78,1,,0,0,580,0.32
pay_000070830,m_04495,c_0052489,2026-01-01 00:09:00,CA,Mid-market,Mobile,Wallet,140.59,1,,0,0,840,2.67
pay_000278593,m_01026,c_0142949,2026-01-01 00:09:00,US,Mid-market,Desktop,Card,38.05,1,,0,0,670,0.72
pay_000899267,m_02393,c_0091876,2026-01-01 00:09:00,AU,SMB,Mobile,Card,124.99,1,,0,0,867,2.37
pay_000398835,m_02568,c_0120520,2026-01-01 00:10:00,DE,SMB,Mobile,Card,23.18,1,,0,0,607,0.44
pay_000414233,m_01946,c_0107622,2026-01-01 00:10:00,US,SMB,Mobile,Card,51.16,1,,0,0,555,0.97
pay_000471699,m_00755,c_0103346,2026-01-01 00:10:00,US,Mid-market,Mobile,Card,22.25,1,,0,0,765,0.42
pay_000392074,m_01015,c_0138079,2026-01-01 00:10:00,DE,SMB,Mobile,Bank debit,22.62,1,,0,0,1169,0.43
pay_000931069,m_02889,c_0143827,2026-01-01 00:11:00,US,Enterprise,Desktop,Card,103.17,1,,0,0,927,1.96
pay_000173633,m_04626,c_0086815,2026-01-01 00:11:00,DE,Mid-market,Mobile,Card,30.38,1,,0,0,671,0.58
pay_000356385,m_03546,c_0065227,2026-01-01 00:12:00,AU,Mid-market,Mobile,Bank debit,64.85,1,,0,0,909,1.23
pay_000218576,m_01535,c_0172386,2026-01-01 00:12:00,AU,Mid-market,Desktop,Wallet,17.97,1,,0,0,716,0.34
pay_000206294,m_00883,c_0052157,2026-01-01 00:13:00,GB,Enterprise,Mobile,Card,145.72,1,,0,0,1157,2.77
pay_000753805,m_04423,c_0038957,2026-01-01 00:13:00,US,SMB,Mobile,Card,29.78,1,,0,0,867,0.57
pay_000210750,m_03213,c_0173285,2026-01-01 00:14:00,US,SMB,Desktop,Wallet,41.75,1,,0,0,725,0.79
pay_000459333,m_00510,c_0074613,2026-01-01 00:14:00,CA,SMB,Mobile,Card,30.51,1,,0,0,602,0.58
pay_000327332,m_01171,c_0051550,2026-01-01 00:14:00,US,SMB,Mobile,Wallet,91.68,1,,0,0,822,1.74
pay_000778840,m_01474,c_0027199,2026-01-01 00:14:00,CA,Mid-market,Desktop,Bank debit,58.2,1,,0,0,651,1.11
pay_000664111,m_03989,c_0111901,2026-01-01 00:15:00,US,SMB,Mobile,Card,20.93,1,,0,0,736,0.4
pay_000027687,m_02148,c_0087617,2026-01-01 00:15:00,US,SMB,Desktop,Card,123.55,1,,0,0,1096,2.35
pay_000264399,m_01679,c_0115805,2026-01-01 00:15:00,GB,Mid-market,Desktop,Bank debit,20.13,1,,0,0,1263,0.38
pay_000828140,m_00444,c_0075266,2026-01-01 00:16:00,US,SMB,Mobile,BNPL,42.97,1,,0,0,665,0.82
pay_000053486,m_03471,c_0152656,2026-01-01 00:16:00,US,SMB,Mobile,Card,32.39,1,,0,0,847,0.62
pay_000292139,m_02319,c_0129990,2026-01-01 00:16:00,US,SMB,Mobile,Wallet,57.19,1,,0,0,650,1.09
pay_000999467,m_02976,c_0178598,2026-01-01 00:17:00,DE,SMB,Mobile,Wallet,15.59,1,,0,0,578,0.3
pay_000189547,m_03023,c_0041886,2026-01-01 00:17:00,US,SMB,Mobile,Card,46.43,0,issuer_decline,0,0,988,0.0
pay_000032420,m_01397,c_0175435,2026-01-01 00:17:00,CA,SMB,Mobile,Wallet,8.53,1,,0,0,1050,0.16
pay_000215835,m_02932,c_0005758,2026-01-01 00:17:00,CA,Mid-market,Mobile,BNPL,51.27,1,,0,0,1008,0.97
pay_000820656,m_01135,c_0093009,2026-01-01 00:19:00,US,Mid-market,Desktop,Card,23.85,1,,0,0,674,0.45
pay_000198330,m_03778,c_0057674,2026-01-01 00:19:00,AU,SMB,Mobile,Wallet,45.35,1,,0,0,869,0.86
pay_000278227,m_02158,c_0040861,2026-01-01 00:20:00,DE,Enterprise,Desktop,Card,72.6,1,,0,0,361,1.38
pay_000389702,m_02529,c_0094006,2026-01-01 00:20:00,US,Enterprise,Mobile,Card,493.14,1,,0,0,555,9.37
pay_000880185,m_02645,c_0176076,2026-01-01 00:20:00,CA,SMB,Mobile,Card,30.01,1,,0,0,462,0.57
pay_000694301,m_00599,c_0021746,2026-01-01 00:20:00,CA,Enterprise,Mobile,Wallet,73.0,1,,0,0,755,1.39
pay_000107583,m_03541,c_0160915,2026-01-01 00:20:00,CA,SMB,Desktop,Card,78.83,0,insufficient_funds,0,0,209,0.0
pay_000101135,m_03536,c_0075174,2026-01-01 00:21:00,DE,Mid-market,Mobile,Bank debit,27.73,1,,0,0,769,0.53
pay_000581404,m_02162,c_0096609,2026-01-01 00:21:00,US,Mid-market,Desktop,Card,33.11,1,,0,0,667,0.63
pay_000317833,m_01029,c_0110933,2026-01-01 00:21:00,US,SMB,Desktop,Card,11.81,1,,0,0,721,0.22
pay_000716146,m_00378,c_0081345,2026-01-01 00:21:00,US,SMB,Desktop,Card,12.48,1,,0,0,798,0.24
pay_000695089,m_01581,c_0168500,2026-01-01 00:22:00,US,Mid-market,Desktop,Card,53.74,1,,0,0,961,1.02
pay_000638938,m_04208,c_0011144,2026-01-01 00:22:00,US,Mid-market,Mobile,Card,199.57,1,,0,0,592,3.79
pay_000324994,m_04893,c_0148239,2026-01-01 00:23:00,DE,Mid-market,Desktop,Card,37.19,1,,0,0,782,0.71
pay_000119403,m_02383,c_0157271,2026-01-01 00:24:00,US,SMB,Mobile,Card,48.01,1,,0,0,514,0.91
pay_000634333,m_00411,c_0082963,2026-01-01 00:24:00,CA,SMB,Desktop,Wallet,84.34,1,,1,0,692,1.6
pay_000924105,m_01752,c_0007010,2026-01-01 00:24:00,US,SMB,Desktop,Card,54.87,1,,0,0,600,1.04
pay_000770382,m_01998,c_0153502,2026-01-01 00:24:00,US,Enterprise,Mobile,Wallet,16.19,1,,0,0,685,0.31
pay_000422715,m_02067,c_0131025,2026-01-01 00:25:00,US,SMB,Desktop,Wallet,28.96,1,,0,0,947,0.55
pay_000656440,m_00049,c_0104285,2026-01-01 00:25:00,US,SMB,Mobile,Card,35.65,1,,0,0,904,0.68
pay_000286453,m_00482,c_0036191,2026-01-01 00:26:00,CA,SMB,Mobile,Card,14.56,1,,0,0,642,0.28
pay_000806362,m_00576,c_0151496,2026-01-01 00:26:00,CA,Mid-market,Desktop,Bank debit,80.14,1,,0,0,987,1.52
pay_000623862,m_00271,c_0001200,2026-01-01 00:26:00,DE,SMB,Mobile,Card,92.0,1,,0,0,685,1.75
pay_000273136,m_04233,c_0140317,2026-01-01 00:27:00,US,SMB,Mobile,Card,213.19,1,,0,0,561,4.05
pay_000930271,m_02460,c_0019066,2026-01-01 00:28:00,CA,Enterprise,Mobile,Card,127.14,1,,0,0,499,2.42
pay_000650719,m_01818,c_0090970,2026-01-01 00:28:00,US,SMB,Mobile,Card,102.81,1,,0,0,597,1.95
pay_000339393,m_04334,c_0011643,2026-01-01 00:28:00,DE,Mid-market,Mobile,Wallet,32.8,1,,0,0,753,0.62
pay_000261459,m_03432,c_0165711,2026-01-01 00:28:00,US,Mid-market,Desktop,BNPL,70.04,1,,0,0,849,1.33
pay_000884573,m_04570,c_0012362,2026-01-01 00:28:00,US,Mid-market,Desktop,Wallet,45.05,1,,0,0,697,0.86
pay_000929064,m_04278,c_0014126,2026-01-01 00:29:00,US,SMB,Mobile,Card,108.35,1,,0,0,903,2.06
pay_000686923,m_04759,c_0055991,2026-01-01 00:29:00,DE,SMB,Mobile,Bank debit,10.78,1,,0,0,1269,0.2
pay_000750828,m_01978,c_0025285,2026-01-01 00:29:00,GB,SMB,Mobile,Card,8.26,1,,0,0,1066,0.16
pay_000128940,m_03747,c_0067666,2026-01-01 00:31:00,CA,SMB,Desktop,Card,30.69,0,issuer_decline,0,0,671,0.0
pay_000450652,m_00026,c_0119230,2026-01-01 00:31:00,AU,SMB,Desktop,Wallet,34.48,0,issuer_decline,0,0,785,0.0
pay_000959326,m_03034,c_0178680,2026-01-01 00:31:00,US,Enterprise,Mobile,Wallet,25.73,1,,0,0,1004,0.49
pay_000868402,m_04722,c_0137572,2026-01-01 00:32:00,CA,SMB,Mobile,Bank debit,70.33,1,,0,0,687,1.34
pay_000655087,m_03161,c_0137494,2026-01-01 00:32:00,US,SMB,Mobile,BNPL,11.43,1,,0,0,631,0.22
pay_000414327,m_03452,c_0066684,2026-01-01 00:32:00,GB,SMB,Mobile,Bank debit,23.31,1,,0,0,1072,0.44
pay_000173102,m_01922,c_0056112,2026-01-01 00:33:00,US,Enterprise,Desktop,Card,27.22,1,,0,0,643,0.52
pay_000458597,m_00556,c_0098850,2026-01-01 00:33:00,US,SMB,Desktop,Card,21.37,1,,0,0,609,0.41
pay_000776672,m_00238,c_0027916,2026-01-01 00:33:00,GB,SMB,Mobile,Card,21.74,1,,0,0,940,0.41
pay_000617524,m_00147,c_0051318,2026-01-01 00:34:00,DE,Enterprise,Desktop,Card,58.84,1,,0,0,355,1.12
pay_000289749,m_00544,c_0177460,2026-01-01 00:35:00,AU,SMB,Mobile,Card,25.48,1,,0,0,965,0.48
pay_000293530,m_03670,c_0119325,2026-01-01 00:35:00,US,SMB,Desktop,Card,5.23,1,,0,0,372,0.1
pay_000303551,m_02739,c_0021937,2026-01-01 00:35:00,DE,SMB,Desktop,Wallet,63.61,1,,0,0,645,1.21
pay_000810575,m_00188,c_0174448,2026-01-01 00:35:00,AU,SMB,Mobile,Card,12.43,1,,0,0,541,0.24
pay_000458161,m_00775,c_0167978,2026-01-01 00:36:00,US,SMB,Desktop,Card,95.15,1,,0,0,1065,1.81
pay_000681799,m_02033,c_0108426,2026-01-01 00:36:00,AU,SMB,Mobile,Wallet,75.51,1,,0,0,798,1.43
pay_000169772,m_01371,c_0089599,2026-01-01 00:37:00,CA,SMB,Desktop,Card,105.79,1,,0,0,706,2.01
pay_000110279,m_00369,c_0166902,2026-01-01 00:37:00,CA,Mid-market,Mobile,Card,22.05,1,,0,0,367,0.42
pay_000395227,m_01532,c_0017863,2026-01-01 00:37:00,US,Mid-market,Desktop,Card,23.41,1,,0,0,810,0.44
pay_000038110,m_02503,c_0080658,2026-01-01 00:38:00,CA,SMB,Desktop,Card,6.13,1,,0,0,829,0.12
pay_000722964,m_00875,c_0092541,2026-01-01 00:38:00,DE,SMB,Desktop,Bank debit,58.26,1,,0,0,881,1.11
pay_000302962,m_00923,c_0175123,2026-01-01 00:38:00,GB,SMB,Mobile,Bank debit,26.75,1,,0,0,908,0.51
pay_000700878,m_03067,c_0006335,2026-01-01 00:38:00,US,SMB,Mobile,Card,245.66,1,,0,0,417,4.67
pay_000340989,m_04475,c_0074091,2026-01-01 00:38:00,GB,Mid-market,Mobile,Card,21.83,0,expired_card,0,0,616,0.0
pay_000420359,m_03380,c_0153674,2026-01-01 00:39:00,AU,SMB,Mobile,Card,14.35,1,,0,0,498,0.27
pay_000409839,m_04051,c_0164710,2026-01-01 00:40:00,US,Mid-market,Desktop,Card,31.91,1,,0,0,645,0.61
pay_000571287,m_02284,c_0091329,2026-01-01 00:40:00,GB,Mid-market,Mobile,Wallet,200.42,1,,0,0,912,3.81
pay_000456002,m_03211,c_0073188,2026-01-01 00:41:00,US,Mid-market,Mobile,Card,48.58,1,,0,0,591,0.92
pay_000176105,m_00840,c_0055951,2026-01-01 00:42:00,CA,SMB,Desktop,Bank debit,40.51,1,,0,0,1063,0.77
pay_000716660,m_01442,c_0024653,2026-01-01 00:42:00,CA,Enterprise,Mobile,Card,15.56,0,insufficient_funds,0,0,825,0.0
pay_000364977,m_02242,c_0053866,2026-01-01 00:42:00,US,Enterprise,Desktop,Card,99.4,0,issuer_decline,0,0,780,0.0
pay_000814054,m_02243,c_0030336,2026-01-01 00:42:00,AU,SMB,Mobile,Card,67.82,1,,0,0,168,1.29
pay_000024982,m_01237,c_0008554,2026-01-01 00:43:00,GB,SMB,Desktop,Card,40.85,1,,0,0,811,0.78
pay_000081385,m_04360,c_0151391,2026-01-01 00:44:00,US,SMB,Mobile,Bank debit,49.55,1,,0,0,1144,0.94
pay_000680116,m_00379,c_0009886,2026-01-01 00:44:00,AU,SMB,Mobile,Card,14.18,1,,0,0,878,0.27
pay_000480008,m_01608,c_0107173,2026-01-01 00:44:00,US,Mid-market,Desktop,Card,459.75,1,,0,0,433,8.74
pay_000518636,m_04116,c_0154403,2026-01-01 00:45:00,US,Mid-market,Mobile,Card,29.7,1,,0,0,727,0.56
pay_000347986,m_01705,c_0038558,2026-01-01 00:46:00,US,Enterprise,Mobile,Wallet,66.86,1,,0,0,890,1.27
pay_000059179,m_01902,c_0105782,2026-01-01 00:46:00,US,SMB,Desktop,Card,34.03,1,,0,0,727,0.65
pay_000185252,m_00733,c_0079810,2026-01-01 00:47:00,US,SMB,Desktop,Bank debit,22.91,1,,0,0,1034,0.44
pay_000323940,m_04341,c_0048934,2026-01-01 00:47:00,US,Mid-market,Desktop,Card,19.98,1,,0,0,646,0.38
pay_000056714,m_01694,c_0173740,2026-01-01 00:47:00,DE,SMB,Desktop,Card,13.04,1,,0,0,691,0.25
pay_000938957,m_02253,c_0028689,2026-01-01 00:47:00,US,SMB,Desktop,Card,64.85,1,,0,0,524,1.23
pay_000428086,m_03037,c_0015409,2026-01-01 00:48:00,AU,Mid-market,Mobile,Card,121.45,1,,0,0,576,2.31
pay_000050990,m_04507,c_0063637,2026-01-01 00:48:00,US,SMB,Mobile,Bank debit,37.04,1,,0,0,888,0.7
pay_000239445,m_02454,c_0156979,2026-01-01 00:49:00,CA,Mid-market,Mobile,Card,32.78,1,,0,0,651,0.62
pay_000496694,m_04246,c_0098346,2026-01-01 00:49:00,US,SMB,Mobile,Wallet,16.73,1,,0,0,630,0.32
pay_000578128,m_02712,c_0092030,2026-01-01 00:49:00,US,Enterprise,Mobile,Card,202.05,1,,0,0,433,3.84
pay_000067274,m_03835,c_0179900,2026-01-01 00:49:00,GB,SMB,Mobile,Card,31.23,1,,0,0,896,0.59
pay_000366674,m_02505,c_0019258,2026-01-01 00:50:00,CA,SMB,Desktop,Card,10.57,1,,0,0,773,0.2
pay_000181922,m_02486,c_0147983,2026-01-01 00:50:00,US,Mid-market,Mobile,BNPL,64.91,1,,0,0,186,1.23
pay_000558357,m_04921,c_0109610,2026-01-01 00:51:00,CA,SMB,Mobile,Wallet,50.41,1,,0,0,1114,0.96
pay_000113944,m_03115,c_0064233,2026-01-01 00:51:00,AU,SMB,Mobile,Bank debit,14.86,1,,0,0,1038,0.28
pay_000869164,m_03867,c_0143982,2026-01-01 00:51:00,US,SMB,Mobile,BNPL,182.72,1,,0,0,695,3.47
pay_000335264,m_02837,c_0066917,2026-01-01 00:51:00,DE,Mid-market,Desktop,Card,10.34,1,,0,0,417,0.2
pay_000676221,m_02459,c_0035050,2026-01-01 00:51:00,US,SMB,Mobile,Bank debit,34.58,1,,0,0,1333,0.66
pay_000955628,m_00477,c_0104004,2026-01-01 00:52:00,GB,SMB,Desktop,Bank debit,86.86,1,,0,0,1160,1.65
pay_000574098,m_02897,c_0032473,2026-01-01 00:52:00,US,Mid-market,Desktop,Card,230.37,1,,0,0,767,4.38
pay_000388548,m_01175,c_0104516,2026-01-01 00:52:00,GB,Mid-market,Mobile,Bank debit,17.27,1,,0,0,786,0.33
pay_000533005,m_01987,c_0007546,2026-01-01 00:53:00,US,SMB,Mobile,Wallet,22.35,1,,0,0,953,0.42
pay_000065958,m_04575,c_0088617,2026-01-01 00:53:00,GB,Mid-market,Mobile,Card,48.98,1,,0,0,1015,0.93
pay_000401282,m_03957,c_0008023,2026-01-01 00:53:00,CA,SMB,Mobile,Card,21.47,1,,0,0,650,0.41
pay_000142830,m_02362,c_0067345,2026-01-01 00:54:00,CA,SMB,Desktop,Wallet,81.52,1,,0,0,995,1.55
pay_000682865,m_02304,c_0022032,2026-01-01 00:54:00,US,Enterprise,Desktop,Card,56.82,1,,0,0,388,1.08
pay_000389019,m_02591,c_0080253,2026-01-01 00:55:00,US,Mid-market,Desktop,Wallet,40.45,1,,0,0,362,0.77
pay_000270297,m_02699,c_0179481,2026-01-01 00:55:00,AU,Enterprise,Desktop,Wallet,100.04,1,,0,0,572,1.9
pay_000122815,m_03735,c_0047550,2026-01-01 00:55:00,CA,SMB,Mobile,Bank debit,29.55,1,,0,0,1063,0.56
pay_000756314,m_02196,c_0044591,2026-01-01 00:56:00,CA,SMB,Mobile,Card,106.24,1,,0,0,570,2.02
pay_000323111,m_02488,c_0044998,2026-01-01 00:56:00,US,Enterprise,Mobile,Card,99.36,1,,0,0,771,1.89
pay_000054141,m_00916,c_0061027,2026-01-01 00:57:00,GB,Enterprise,Desktop,BNPL,284.58,1,,0,0,772,5.41
pay_000204684,m_00017,c_0087914,2026-01-01 00:57:00,GB,SMB,Desktop,Card,37.92,1,,0,0,537,0.72
pay_000829069,m_04739,c_0099755,2026-01-01 00:57:00,US,SMB,Mobile,Card,129.95,1,,0,0,563,2.47
pay_000515469,m_03022,c_0033642,2026-01-01 00:57:00,US,SMB,Mobile,Card,62.09,1,,0,0,752,1.18
pay_000800584,m_00366,c_0171340,2026-01-01 00:58:00,US,SMB,Mobile,Card,23.81,1,,0,0,752,0.45
pay_000600632,m_02683,c_0085753,2026-01-01 00:58:00,US,SMB,Desktop,Card,57.34,1,,0,0,481,1.09
pay_000624083,m_01662,c_0085233,2026-01-01 00:58:00,GB,Mid-market,Mobile,Card,36.46,1,,0,0,469,0.69
pay_000836223,m_02035,c_0056450,2026-01-01 00:58:00,GB,Enterprise,Desktop,Wallet,27.78,1,,0,0,481,0.53
pay_000357567,m_02043,c_0064393,2026-01-01 00:58:00,US,SMB,Mobile,Wallet,95.33,1,,0,0,714,1.81
pay_000597166,m_00146,c_0087065,2026-01-01 00:59:00,US,Enterprise,Mobile,Card,137.21,0,network_error,0,0,979,0.0
pay_000046338,m_02665,c_0104322,2026-01-01 00:59:00,US,SMB,Mobile,Card,50.22,1,,0,0,1220,0.95
pay_000486200,m_02237,c_0104272,2026-01-01 01:00:00,US,SMB,Desktop,Wallet,65.16,1,,0,0,841,1.24
pay_000885671,m_01819,c_0138284,2026-01-01 01:00:00,AU,Mid-market,Mobile,Card,74.35,0,expired_card,0,0,859,0.0
pay_000347573,m_04873,c_0054913,2026-01-01 01:00:00,US,SMB,Desktop,Card,83.9,1,,0,0,818,1.59
pay_000740325,m_04487,c_0044374,2026-01-01 01:00:00,US,SMB,Mobile,Card,282.56,1,,0,0,762,5.37
pay_000496946,m_04731,c_0173720,2026-01-01 01:00:00,CA,SMB,Desktop,Wallet,7.39,1,,0,0,584,0.14
pay_000996022,m_04837,c_0034069,2026-01-01 01:01:00,US,Enterprise,Desktop,Card,87.77,1,,0,0,574,1.67
pay_000158460,m_03248,c_0089498,2026-01-01 01:01:00,CA,SMB,Mobile,Card,11.44,1,,0,0,771,0.22
pay_000845860,m_03395,c_0135718,2026-01-01 01:01:00,US,SMB,Mobile,Wallet,9.09,1,,0,0,854,0.17
pay_000714926,m_01061,c_0112217,2026-01-01 01:02:00,US,Mid-market,Desktop,Wallet,9.64,0,issuer_decline,0,0,667,0.0
pay_000097544,m_00487,c_0086176,2026-01-01 01:02:00,CA,Mid-market,Desktop,Wallet,9.99,1,,0,0,751,0.19
pay_000849631,m_04042,c_0120442,2026-01-01 01:02:00,GB,SMB,Mobile,Card,35.02,1,,0,0,719,0.67
pay_000376178,m_04927,c_0080092,2026-01-01 01:02:00,CA,Mid-market,Mobile,Wallet,93.39,1,,0,0,696,1.77
pay_000569730,m_03337,c_0095166,2026-01-01 01:02:00,CA,SMB,Mobile,Card,8.54,0,insufficient_funds,0,0,811,0.0
pay_000515724,m_01705,c_0012555,2026-01-01 01:03:00,CA,SMB,Desktop,Bank debit,12.15,1,,0,0,843,0.23
pay_000235567,m_01177,c_0078433,2026-01-01 01:03:00,CA,Enterprise,Mobile,Card,53.86,1,,0,0,750,1.02
pay_000193741,m_03382,c_0132700,2026-01-01 01:04:00,GB,Mid-market,Mobile,Card,12.13,1,,0,0,984,0.23
pay_000322471,m_02156,c_0056870,2026-01-01 01:05:00,US,SMB,Mobile,Wallet,3.0,1,,0,0,1035,0.06
pay_000686015,m_00074,c_0019543,2026-01-01 01:05:00,CA,SMB,Mobile,Card,39.51,1,,0,0,987,0.75
pay_000269199,m_03016,c_0075173,2026-01-01 01:06:00,US,Mid-market,Desktop,Card,30.84,1,,0,0,958,0.59
pay_000047076,m_03415,c_0119284,2026-01-01 01:06:00,US,Enterprise,Mobile,Wallet,370.42,1,,0,0,777,7.04
pay_000697620,m_04063,c_0167127,2026-01-01 01:06:00,GB,SMB,Mobile,Card,16.51,1,,0,0,1259,0.31
pay_000679110,m_03199,c_0044230,2026-01-01 01:06:00,US,SMB,Desktop,Card,13.16,1,,0,0,875,0.25
pay_000623440,m_01471,c_0012951,2026-01-01 01:06:00,AU,SMB,Desktop,Card,47.25,1,,0,0,731,0.9
pay_000616346,m_03404,c_0089526,2026-01-01 01:06:00,DE,SMB,Desktop,Card,21.89,1,,0,0,832,0.42
pay_000692391,m_01155,c_0016034,2026-01-01 01:07:00,US,SMB,Mobile,Bank debit,36.68,1,,0,0,1017,0.7
pay_000124678,m_01572,c_0149125,2026-01-01 01:07:00,GB,Mid-market,Desktop,Wallet,99.81,1,,0,0,697,1.9
pay_000671993,m_01624,c_0055649,2026-01-01 01:07:00,US,Mid-market,Mobile,Card,69.55,1,,0,0,1010,1.32
pay_000287519,m_04999,c_0166290,2026-01-01 01:07:00,DE,Enterprise,Mobile,Card,361.07,1,,0,0,704,6.86
pay_000953250,m_03135,c_0050254,2026-01-01 01:08:00,US,SMB,Mobile,BNPL,35.51,1,,0,0,692,0.67
pay_000961764,m_01794,c_0118350,2026-01-01 01:08:00,US,SMB,Mobile,BNPL,23.5,0,insufficient_funds,0,0,587,0.0
pay_000026404,m_02226,c_0093026,2026-01-01 01:09:00,AU,Enterprise,Mobile,Card,188.25,1,,0,0,914,3.58
pay_000508652,m_02309,c_0050805,2026-01-01 01:09:00,US,SMB,Desktop,Card,22.54,0,expired_card,0,0,529,0.0
pay_000193468,m_04150,c_0083885,2026-01-01 01:09:00,US,SMB,Mobile,Card,18.35,1,,0,0,1050,0.35
pay_000321700,m_01348,c_0156026,2026-01-01 01:10:00,US,SMB,Desktop,Card,6.92,1,,0,0,766,0.13
pay_000565925,m_00791,c_0131225,2026-01-01 01:10:00,CA,SMB,Desktop,Card,11.61,1,,0,0,700,0.22
pay_000769445,m_02146,c_0055347,2026-01-01 01:11:00,CA,Enterprise,Mobile,Card,74.57,1,,0,0,900,1.42
pay_000683536,m_02432,c_0083055,2026-01-01 01:11:00,DE,SMB,Mobile,BNPL,58.45,1,,0,0,530,1.11
pay_000351623,m_01944,c_0021447,2026-01-01 01:11:00,CA,SMB,Mobile,Card,129.24,1,,0,0,675,2.46
